fileid	filename	dataset_name	dataverse_level_1_id	dataverse_level_1_alias	dataverse_level_1_friendly_name	dataverse_level_2_id	dataverse_level_2_alias	dataverse_level_2_friendly_name	dataverse_level_3_id	dataverse_level_3_alias	dataverse_level_3_friendly_name	subjects	file_creation_date	file_publication_date	publication_date
1	M_err.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
2	M.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
3	DatasetDiagram.png	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
4	T.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
5	L_over_M.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
6	L.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
7	T_err.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
8	triad-data-5466.sav	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
9	test.pdf	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
10	N_err.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
11	N.fits	10+ FITS files and subsetted data files		ecastro	Eleni Castro Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
12	IMG_2199.JPG	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
13	50by1000.tab	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
14	ri_2016.zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
15	IMG_0166.PNG	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
16	dataverse_project_logo_1.png	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
17	de_2016.zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
18	Intersections_(Census).zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
19	ak_2016.zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
20	hi_2016.zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
21	20150610_091644_dataversecommunitymeeting2015-1668.jpg	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
22	00169Fiske-Longitudinal-BoxCoverSheets.pdf	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
23	co_2016.zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
24	ma_2016.zip	Dataset with Shapefiles, Images, and Tabular Files		manchester	Manchester Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
25	Desert.jpg	Reproductive Health Laws Around the World		HCPDS	HCPDS Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
26	Chrysanthemum.jpg	Reproductive Health Laws Around the World		HCPDS	HCPDS Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
27	gss.dta	Reproductive Health Laws Around the World		HCPDS	HCPDS Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
28	DE1_0_2008_to_2010_Inpatient_Claims_Sample_1.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
29	DE1_0_2008_to_2010_Inpatient_Claims_Sample_2.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
30	DE1_0_2010_Beneficiary_Summary_File_Sample_3.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
31	DE1_0_2010_Beneficiary_Summary_File_Sample_2.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
32	DE1_0_2010_Beneficiary_Summary_File_Sample_1.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
33	data users document.pdf	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
34	DE1_0_2009_Beneficiary_Summary_File_Sample_2.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
35	DE1_0_2008_Beneficiary_Summary_File_Sample_2.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
36	DE1_0_2008_Beneficiary_Summary_File_Sample_3.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
37	DE1_0_2009_Beneficiary_Summary_File_Sample_1.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
38	DE1_0_2008_Beneficiary_Summary_File_Sample_1.zip	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
39	SynPUF_Codebook.pdf	CMS Fabricated Data		cms	CMS Dataverse							Other	2019-09-27	2019-09-27	2019-09-27
40	DiabeticConnect_titles_tags_content_subset50percent.sav	Text data for comparing the language used in Wikipedia, the DiabeticConnect Forum, and Research Articles		scholcommlab	ScholCommLab's Dataverse							Computer and Information Science;Medicine, Health and Life Sciences;Social Sciences	2019-09-27	2019-09-27	2019-09-27
41	DiabeticConnect_titles_tags_content_subset25percent.sav	Text data for comparing the language used in Wikipedia, the DiabeticConnect Forum, and Research Articles		scholcommlab	ScholCommLab's Dataverse							Computer and Information Science;Medicine, Health and Life Sciences;Social Sciences	2019-09-27	2019-09-27	2019-09-27
42	FE_1933_2006_data_subset.sav	“Changes in test-taking patterns over time” concerning the Flynn Effect in Estonia		ubiquity-press	Ubiquity Press Dataverse		jopd	Journal of Open Psychology Data (JOPD) Dataverse				Social Sciences	2019-09-27	2019-09-27	2019-09-27
43	FE_1933_2006_data_subset.csv	“Changes in test-taking patterns over time” concerning the Flynn Effect in Estonia		ubiquity-press	Ubiquity Press Dataverse		jopd	Journal of Open Psychology Data (JOPD) Dataverse				Social Sciences	2019-09-27	2019-09-27	2019-09-27
44	bafacalo_dataset_subset.sav	Data from the BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models: Carroll's model and the CHC model.		ubiquity-press	Ubiquity Press Dataverse		jopd	Journal of Open Psychology Data (JOPD) Dataverse				Social Sciences	2019-09-27	2019-09-27	2019-09-27
45	run.sh	Open Source at Harvard - File Hierarchy, Descriptions, Tags and Restrictions		open-source-at-harvard	Open Source at Harvard							Social Sciences	2019-09-27	2019-09-27	2019-09-27
46	language-count.sh	Open Source at Harvard - File Hierarchy, Descriptions, Tags and Restrictions		open-source-at-harvard	Open Source at Harvard							Social Sciences	2019-09-27	2019-09-27	2019-09-27
47	language-count.tsv	Open Source at Harvard - File Hierarchy, Descriptions, Tags and Restrictions		open-source-at-harvard	Open Source at Harvard							Social Sciences	2019-09-27	2019-09-27	2019-09-27
48	README_private.txt	Open Source at Harvard - File Hierarchy, Descriptions, Tags and Restrictions		open-source-at-harvard	Open Source at Harvard							Social Sciences	2019-09-27	2019-09-27	2019-09-27
49	2019-02-25.tsv	Open Source at Harvard - File Hierarchy, Descriptions, Tags and Restrictions		open-source-at-harvard	Open Source at Harvard							Social Sciences	2019-09-27	2019-09-27	2019-09-27
50	adjacency_subset.sav	Cause of Death Data		king	Gary King Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
51	allc_subset.sav	Cause of Death Data		king	Gary King Dataverse							Social Sciences	2019-09-27	2019-09-27	2019-09-27
52	installations.tsv	Dataverse Installation Personas		open-source-at-harvard	Open Source at Harvard		dataverse-project	The Dataverse Project		dataverse-installations	Dataverse Installations	Social Sciences	2019-09-27	2019-09-27	2019-09-27
